VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
03-16-1992,1,6,California,06264703,5,2647,0.898999989,0.912999988,,0.906000018
01-25-1990,1,6,California,06815101,5,8151,0.883000016,0.734000027,,0.809000015
02-25-1998,1,6,California,06820107,3,8201,1.467000008,1.616000056,,1.541000009
05-05-1998,1,6,California,06125311,7,1253,1.84800005,2.224999905,,2.036999941
01-25-1990,1,6,California,06815101,1,8151,0.771000028,0.731000006,,0.750999987
03-29-1995,1,6,California,06820105,6,8201,1.325000048,1.396999955,,1.360999942
01-25-1990,1,6,California,06815101,2,8151,0.606000006,0.720000029,,0.662999988
02-25-1998,1,6,California,06820107,2,8201,1.475999951,1.631000042,,1.55400002
09-23-1998,1,6,California,06264707,2,2647,1.087000012,1.133999944,,1.110000014
01-22-1990,1,6,California,06820101,9,8201,1.304999948,1.343999982,,1.325000048
02-25-1998,1,6,California,06820107,1,8201,1.5,1.590999961,,1.544999957
01-25-1990,1,6,California,06815101,3,8151,0.57099998,0.713999987,,0.64200002
02-25-1998,1,6,California,06820107,4,8201,1.462000012,1.593999982,,1.527999997
05-05-1998,1,6,California,06125311,5,1253,1.932999969,2.250999928,,2.092000008
05-05-1998,1,6,California,06125311,1,1253,2.049000025,2.325000048,,2.187000036
03-29-1995,1,6,California,06820105,4,8201,1.348999977,1.375,,1.361999989
01-25-1990,1,6,California,06815101,4,8151,0.657000005,0.698000014,,0.676999986
04-04-2003,1,6,California,06125314,8,1253,2.052999973,2.049000025,,2.051000118
11-15-2002,1,6,California,06820110,8,8201,1.588000059,1.65199995,,1.620000005
04-04-2003,1,6,California,06125314,5,1253,2.003999949,2.023999929,,2.013999939
04-04-2003,1,6,California,06125314,9,1253,1.981999993,2.069000006,,2.025000095
11-15-2002,1,6,California,06820110,2,8201,1.626000047,1.644000053,,1.63499999
11-15-2002,1,6,California,06820110,5,8201,1.562999964,1.636999965,,1.600000024
04-04-2003,1,6,California,06125314,2,1253,2.01699996,2.107000113,,2.062000036
10-04-2001,1,6,California,06125313,2,1253,1.957000017,2.542000055,,2.25
10-04-2001,1,6,California,06125313,3,1253,1.911999941,2.506000042,,2.209000111
11-21-2002,1,6,California,06264710,7,2647,1.659000039,1.59800005,,1.628000021
12-06-2001,1,6,California,06820109,3,8201,1.583999991,1.671000004,,1.626999974
11-02-1999,1,6,California,06264708,2,2647,1.266000032,1.197000027,,1.230999947
12-06-2001,1,6,California,06820109,9,8201,1.61500001,1.664999962,,1.639999986
11-21-2002,1,6,California,06264710,4,2647,1.819000006,1.45599997,,1.636999965
11-15-2002,1,6,California,06820110,6,8201,1.559000015,1.654999971,,1.606999993
11-21-2002,1,6,California,06264710,8,2647,1.743999958,1.562000036,,1.652999997
04-04-2003,1,6,California,06125314,3,1253,1.945000052,2.092000008,,2.017999887
02-25-2005,1,6,California,06125315,7,1253,1.907999992,2.305000067,,2.107000113
12-04-2001,1,6,California,06264709,4,2647,1.55400002,1.378000021,,1.465999961
04-14-1997,1,6,California,06264706,5,2647,0.907999992,0.998000026,,0.953000009
